Image Path,LaTeX Label
.\PersianNumbers\class_0\image_14105.jpg,0
.\PersianNumbers\class_0\image_14106.jpg,0
.\PersianNumbers\class_0\image_14107.jpg,0
.\PersianNumbers\class_0\image_14109.jpg,0
.\PersianNumbers\class_0\image_14110.jpg,0
.\PersianNumbers\class_0\image_14111.jpg,0
.\PersianNumbers\class_0\image_14112.jpg,0
.\PersianNumbers\class_0\image_14113.jpg,0
.\PersianNumbers\class_0\image_14114.jpg,0
.\PersianNumbers\class_0\image_14115.jpg,0
.\PersianNumbers\class_0\image_14116.jpg,0
.\PersianNumbers\class_0\image_14117.jpg,0
.\PersianNumbers\class_0\image_14119.jpg,0
.\PersianNumbers\class_0\image_14120.jpg,0
.\PersianNumbers\class_0\image_14121.jpg,0
.\PersianNumbers\class_0\image_14122.jpg,0
.\PersianNumbers\class_0\image_14124.jpg,0
.\PersianNumbers\class_0\image_14125.jpg,0
.\PersianNumbers\class_0\image_14126.jpg,0
.\PersianNumbers\class_0\image_14127.jpg,0
.\PersianNumbers\class_0\image_14128.jpg,0
.\PersianNumbers\class_0\image_14129.jpg,0
.\PersianNumbers\class_0\image_14130.jpg,0
.\PersianNumbers\class_0\image_14131.jpg,0
.\PersianNumbers\class_0\image_14132.jpg,0
.\PersianNumbers\class_0\image_14133.jpg,0
.\PersianNumbers\class_0\image_14134.jpg,0
.\PersianNumbers\class_0\image_14135.jpg,0
.\PersianNumbers\class_0\image_14136.jpg,0
.\PersianNumbers\class_0\image_14137.jpg,0
.\PersianNumbers\class_0\image_14138.jpg,0
.\PersianNumbers\class_0\image_14139.jpg,0
.\PersianNumbers\class_0\image_14140.jpg,0
.\PersianNumbers\class_0\image_14141.jpg,0
.\PersianNumbers\class_0\image_14142.jpg,0
.\PersianNumbers\class_0\image_14143.jpg,0
.\PersianNumbers\class_0\image_14144.jpg,0
.\PersianNumbers\class_0\image_14145.jpg,0
.\PersianNumbers\class_0\image_14146.jpg,0
.\PersianNumbers\class_0\image_14147.jpg,0
.\PersianNumbers\class_0\image_14148.jpg,0
.\PersianNumbers\class_0\image_14149.jpg,0
.\PersianNumbers\class_0\image_14150.jpg,0
.\PersianNumbers\class_0\image_14151.jpg,0
.\PersianNumbers\class_0\image_14152.jpg,0
.\PersianNumbers\class_0\image_14153.jpg,0
.\PersianNumbers\class_0\image_14154.jpg,0
.\PersianNumbers\class_0\image_14155.jpg,0
.\PersianNumbers\class_0\image_14156.jpg,0
.\PersianNumbers\class_0\image_14157.jpg,0
.\PersianNumbers\class_0\image_14158.jpg,0
.\PersianNumbers\class_0\image_14159.jpg,0
.\PersianNumbers\class_0\image_14160.jpg,0
.\PersianNumbers\class_0\image_14161.jpg,0
.\PersianNumbers\class_0\image_14162.jpg,0
.\PersianNumbers\class_0\image_14164.jpg,0
.\PersianNumbers\class_0\image_14165.jpg,0
.\PersianNumbers\class_0\image_14166.jpg,0
.\PersianNumbers\class_0\image_14167.jpg,0
.\PersianNumbers\class_0\image_14168.jpg,0
.\PersianNumbers\class_0\image_14169.jpg,0
.\PersianNumbers\class_0\image_14170.jpg,0
.\PersianNumbers\class_0\image_14171.jpg,0
.\PersianNumbers\class_0\image_14172.jpg,0
.\PersianNumbers\class_0\image_14173.jpg,0
.\PersianNumbers\class_0\image_14174.jpg,0
.\PersianNumbers\class_0\image_14175.jpg,0
.\PersianNumbers\class_0\image_14176.jpg,0
.\PersianNumbers\class_0\image_14177.jpg,0
.\PersianNumbers\class_0\image_14179.jpg,0
.\PersianNumbers\class_0\image_14180.jpg,0
.\PersianNumbers\class_0\image_14182.jpg,0
.\PersianNumbers\class_0\image_14183.jpg,0
.\PersianNumbers\class_0\image_14184.jpg,0
.\PersianNumbers\class_0\image_14185.jpg,0
.\PersianNumbers\class_0\image_14186.jpg,0
.\PersianNumbers\class_0\image_14187.jpg,0
.\PersianNumbers\class_0\image_14188.jpg,0
.\PersianNumbers\class_0\image_14189.jpg,0
.\PersianNumbers\class_0\image_14190.jpg,0
.\PersianNumbers\class_0\image_14191.jpg,0
.\PersianNumbers\class_0\image_14194.jpg,0
.\PersianNumbers\class_0\image_14195.jpg,0
.\PersianNumbers\class_0\image_14196.jpg,0
.\PersianNumbers\class_0\image_14197.jpg,0
.\PersianNumbers\class_0\image_14198.jpg,0
.\PersianNumbers\class_0\image_14199.jpg,0
.\PersianNumbers\class_0\image_14200.jpg,0
.\PersianNumbers\class_0\image_14202.jpg,0
.\PersianNumbers\class_0\image_14203.jpg,0
.\PersianNumbers\class_0\image_14204.jpg,0
.\PersianNumbers\class_0\image_14205.jpg,0
.\PersianNumbers\class_0\image_14206.jpg,0
.\PersianNumbers\class_0\image_14207.jpg,0
.\PersianNumbers\class_0\image_14209.jpg,0
.\PersianNumbers\class_0\image_14210.jpg,0
.\PersianNumbers\class_0\image_14211.jpg,0
.\PersianNumbers\class_0\image_14212.jpg,0
.\PersianNumbers\class_0\image_14213.jpg,0
.\PersianNumbers\class_0\image_14215.jpg,0
.\PersianNumbers\class_0\image_14216.jpg,0
.\PersianNumbers\class_0\image_14217.jpg,0
.\PersianNumbers\class_0\image_14218.jpg,0
.\PersianNumbers\class_0\image_14219.jpg,0
.\PersianNumbers\class_0\image_14220.jpg,0
.\PersianNumbers\class_0\image_14221.jpg,0
.\PersianNumbers\class_0\image_14222.jpg,0
.\PersianNumbers\class_0\image_14223.jpg,0
.\PersianNumbers\class_0\image_14224.jpg,0
.\PersianNumbers\class_0\image_14225.jpg,0
.\PersianNumbers\class_0\image_14226.jpg,0
.\PersianNumbers\class_0\image_14227.jpg,0
.\PersianNumbers\class_0\image_14228.jpg,0
.\PersianNumbers\class_0\image_14229.jpg,0
.\PersianNumbers\class_0\image_14230.jpg,0
.\PersianNumbers\class_0\image_14231.jpg,0
.\PersianNumbers\class_0\image_14232.jpg,0
.\PersianNumbers\class_0\image_14233.jpg,0
.\PersianNumbers\class_0\image_14234.jpg,0
.\PersianNumbers\class_0\image_14235.jpg,0
.\PersianNumbers\class_0\image_14237.jpg,0
.\PersianNumbers\class_0\image_14239.jpg,0
.\PersianNumbers\class_0\image_14240.jpg,0
.\PersianNumbers\class_0\image_14241.jpg,0
.\PersianNumbers\class_0\image_14242.jpg,0
.\PersianNumbers\class_0\image_14243.jpg,0
.\PersianNumbers\class_0\image_14244.jpg,0
.\PersianNumbers\class_0\image_14245.jpg,0
.\PersianNumbers\class_0\image_14246.jpg,0
.\PersianNumbers\class_0\image_14247.jpg,0
.\PersianNumbers\class_0\image_14248.jpg,0
.\PersianNumbers\class_0\image_14249.jpg,0
.\PersianNumbers\class_0\image_14250.jpg,0
.\PersianNumbers\class_0\image_14251.jpg,0
.\PersianNumbers\class_0\image_14252.jpg,0
.\PersianNumbers\class_0\image_14253.jpg,0
.\PersianNumbers\class_0\image_14254.jpg,0
.\PersianNumbers\class_0\image_14255.jpg,0
.\PersianNumbers\class_0\image_14256.jpg,0
.\PersianNumbers\class_0\image_14257.jpg,0
.\PersianNumbers\class_0\image_14258.jpg,0
.\PersianNumbers\class_0\image_14259.jpg,0
.\PersianNumbers\class_0\image_14260.jpg,0
.\PersianNumbers\class_0\image_14261.jpg,0
.\PersianNumbers\class_0\image_14262.jpg,0
.\PersianNumbers\class_0\image_14263.jpg,0
.\PersianNumbers\class_0\image_14264.jpg,0
.\PersianNumbers\class_0\image_14265.jpg,0
.\PersianNumbers\class_0\image_14266.jpg,0
.\PersianNumbers\class_0\image_14267.jpg,0
.\PersianNumbers\class_0\image_14268.jpg,0
.\PersianNumbers\class_0\image_14269.jpg,0
.\PersianNumbers\class_0\image_14270.jpg,0
.\PersianNumbers\class_0\image_14271.jpg,0
.\PersianNumbers\class_0\image_14272.jpg,0
.\PersianNumbers\class_0\image_14273.jpg,0
.\PersianNumbers\class_0\image_14274.jpg,0
.\PersianNumbers\class_0\image_14275.jpg,0
.\PersianNumbers\class_0\image_14276.jpg,0
.\PersianNumbers\class_0\image_14277.jpg,0
.\PersianNumbers\class_0\image_14278.jpg,0
.\PersianNumbers\class_0\image_14279.jpg,0
.\PersianNumbers\class_0\image_14280.jpg,0
.\PersianNumbers\class_0\image_14281.jpg,0
